   switch_port, host_mac, mtu , physical_device, bond_device, vlan, bridge_device,       ip_address,            hostname
         1/0/1,         , 1500, eth0           , bond0      , 3295,      br-admin, 10.255.77.254/25,   stackadmin01-60ox
         1/0/1,         , 1500, eth0           , bond0      , 3293,      br-endpt, 10.255.74.254/24,   stackendpt01-60ox
         1/0/1,         , 1500, eth0           , bond0      , 3291,       br-mgmt, 10.255.71.254/25,    stackmgmt01-60ox
         1/0/3,         , 1500, ilo            ,            ,     ,              , 10.255.71.190/25,     stackoob01-60ox
        1/0/15,         , 1500, eth0           , bond0      , 3295,      br-admin, 10.255.77.253/25,   stackadmin02-60ox
        1/0/15,         , 1500, eth0           , bond0      , 3293,      br-endpt, 10.255.74.253/24,   stackendpt02-60ox
        1/0/15,         , 1500, eth0           , bond0      , 3291,       br-mgmt, 10.255.71.253/25,    stackmgmt02-60ox
        1/0/17,         , 1500, iDRAC          ,            ,     ,              , 10.255.71.189/25,     stackoob02-60ox
        1/0/16,         , 9000, eth1           , bond1      , 3292,    br-storage, 10.255.72.254/25, stackstorage02-60ox
              ,         , 9000,                ,            , 3292,              , 10.255.72.253/25,     stacksan01-60ox
 1/0/37:1/0/25,         , 9000, eth0           ,            , 3292,              , 10.255.72.252/25,   stacksan01-1-60ox
 1/0/38:1/0/26,         , 9000, eth1           ,            , 3292,              , 10.255.72.251/25,   stacksan01-2-60ox
 1/0/38:1/0/26,         , 9000, eth2           ,            , 3292,              , 10.255.72.250/25,   stacksan01-3-60ox
 1/0/40:1/0/28,         , 9000, eth0           ,            , 3292,              , 10.255.72.249/25,   stacksan02-1-60ox
 1/0/41:1/0/29,         , 9000, eth1           ,            , 3292,              , 10.255.72.248/25,   stacksan02-2-60ox
 1/0/42:1/0/30,         , 9000, eth2           ,            , 3292,              , 10.255.72.247/25,   stacksan02-3-60ox
